"","infection_time","interaction","name","selected","shared interaction","shared name"
"734","-1","interacts with","212.0 (interacts with) 207.0","false","interacts with","212.0 (interacts with) 207.0"
"909","-1","interacts with","210.0 (interacts with) 213.0","false","interacts with","210.0 (interacts with) 213.0"
"781","5","interacts with","335.0 (interacts with) 331.0","false","interacts with","335.0 (interacts with) 331.0"
"780","-1","interacts with","335.0 (interacts with) 332.0","false","interacts with","335.0 (interacts with) 332.0"
"816","-1","interacts with","359.0 (interacts with) 304.0","false","interacts with","359.0 (interacts with) 304.0"
"815","-1","interacts with","364.0 (interacts with) 79.0","false","interacts with","364.0 (interacts with) 79.0"
"594","-1","interacts with","367.0 (interacts with) 257.0","false","interacts with","367.0 (interacts with) 257.0"
"593","-1","interacts with","367.0 (interacts with) 199.0","false","interacts with","367.0 (interacts with) 199.0"
"614","-1","interacts with","355.0 (interacts with) 246.0","false","interacts with","355.0 (interacts with) 246.0"
"613","-1","interacts with","355.0 (interacts with) 130.0","false","interacts with","355.0 (interacts with) 130.0"
"612","-1","interacts with","355.0 (interacts with) 140.0","false","interacts with","355.0 (interacts with) 140.0"
"617","-1","interacts with","348.0 (interacts with) 349.0","false","interacts with","348.0 (interacts with) 349.0"
"616","-1","interacts with","348.0 (interacts with) 244.0","false","interacts with","348.0 (interacts with) 244.0"
"615","13","interacts with","348.0 (interacts with) 238.0","false","interacts with","348.0 (interacts with) 238.0"
"820","-1","interacts with","75.0 (interacts with) 180.0","false","interacts with","75.0 (interacts with) 180.0"
"819","-1","interacts with","75.0 (interacts with) 285.0","false","interacts with","75.0 (interacts with) 285.0"
"585","-1","interacts with","73.0 (interacts with) 72.0","false","interacts with","73.0 (interacts with) 72.0"
"746","-1","interacts with","72.0 (interacts with) 320.0","false","interacts with","72.0 (interacts with) 320.0"
"573","-1","interacts with","183.0 (interacts with) 226.0","false","interacts with","183.0 (interacts with) 226.0"
"572","-1","interacts with","183.0 (interacts with) 49.0","false","interacts with","183.0 (interacts with) 49.0"
"669","7","interacts with","21.0 (interacts with) 140.0","false","interacts with","21.0 (interacts with) 140.0"
"668","-1","interacts with","21.0 (interacts with) 91.0","false","interacts with","21.0 (interacts with) 91.0"
"667","-1","interacts with","21.0 (interacts with) 220.0","false","interacts with","21.0 (interacts with) 220.0"
"666","7","interacts with","21.0 (interacts with) 33.0","false","interacts with","21.0 (interacts with) 33.0"
